codigopostal,nombre,id,provincia_id
5281,SAN JOSE,20084,4
5284,SANTA ANA,20085,4
5284,SENDAS GRANDES,20086,4
5281,SIMBOLAR,20087,4
5281,TABAQUILLO,20088,4
5284,TALA DEL RIO SECO,20089,4
5285,TRES ARBOLES,20090,4
5281,VILLA LOS LEONES,20091,4
4105,ESCUELA,20092,15
4105,ESCUELA 113,20093,15
4105,ESCUELA 311,20094,15
5281,BARRIAL,20095,4
4105,ESCUELA ANTONIO MEDINA,20096,15
4105,ESCUELA GRANADEROS DE SAN MART,20097,15
5270,LAS ABRAS,20098,4
4105,ESCUELA OTILDE DE TORO,20099,15
4105,HORCO MOLLE,20100,15
4105,LA SALA,20101,15
4105,LOMAS DE IMBAUD,20102,15
4105,RUTA PROVINCIAL 338,20103,15
4105,VILLA SAN JAVIER,20104,15
5280,OLIVARES SAN NICOLAS,20105,4
2432,ARBOL CHATO,20106,4
2434,ARROYO DE ALVAREZ,20107,4
5143,BARRIO MULLER,20108,4
5943,CAMPO BANDILLO,20109,4
2421,CAMPO BEIRO,20110,4
2426,CAMPO BOERO,20111,4
2423,CAMPO CALVO,20112,4
5139,CAMPO COYUNDA,20113,4
2423,CAMPO LA LUISA,20114,4
2432,CAPILLA SAN ANTONIO,20115,4
2415,CAPILLA SANTA ROSA,20116,4
5941,COLONIA ANGELITA,20117,4
2413,COLONIA ANITA,20118,4
2436,COLONIA ARROYO DE ALVAREZ,20119,4
2421,COLONIA BEIRO,20120,4
2419,COLONIA BOTTURI,20121,4
6271,ANTONIO CATALANO,20122,4
2415,COLONIA CEFERINA,20123,4
2436,COLONIA CORTADERA,20124,4
6225,BURMEISTER,20125,4
2435,COLONIA COYUNDA,20126,4
6271,CAMPO SAN JUAN,20127,4
2424,COLONIA CRISTINA,20128,4
6275,CA,20129,4
2428,COLONIA DEL BANCO NACION,20130,4
2421,COLONIA DOS HERMANOS,20131,4
6270,COLONIA BOERO,20132,4
6270,COLONIA DOROTEA,20133,4
2424,COLONIA EL MILAGRO,20134,4
2424,COLONIA EL TRABAJO,20135,4
6271,COSTA DEL RIO QUINTO,20136,4
6271,DE LA SERNA,20137,4
2413,COLONIA EUGENIA,20138,4
6127,EL ARBOL,20139,4
6127,EL NOY,20140,4
2415,COLONIA GORCHS,20141,4
5945,COLONIA GENERAL DEHEZA,20142,4
6273,EL PAMPERO,20143,4
2413,COLONIA ITURRASPE,20144,4
6127,SANTA MAGDALENA,20145,4
2423,COLONIA LA MOROCHA,20146,4
6271,LA LUZ,20147,4
2435,COLONIA LA TORDILLA,20148,4
2417,COLONIA LA TRINCHERA,20149,4
6275,LA NACIONAL,20150,4
6279,LA PENCA,20151,4
2415,COLONIA LAVARELLO,20152,4
6271,LA PERLITA,20153,4
2349,COLONIA MAUNIER,20154,4
6275,LARSEN,20155,4
2349,COLONIA MILESSI,20156,4
6273,LECUEDER,20157,4
2415,COLONIA NUEVO PIAMONTE,20158,4
2415,COLONIA PALO LABRADO,20159,4
6275,LOS ALFALFARES,20160,4
2413,COLONIA PRODAMONTE,20161,4
2421,COLONIA SAN PEDRO,20162,4
6127,LOS GAUCHOS DE GUEMES,20163,4
2423,COLONIA SANTA MARIA,20164,4
6270,MELIDEO,20165,4
2411,COLONIA SANTA RITA,20166,4
6273,MODESTINO PIZARRO,20167,4
